"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2026-02-13T07:12:49.564Z"
,"Bureau Havenstages","Bureau Havenstages van CoE HRTech matcht studenten en technische bedrijven in haven en stad voor stages en afstuderen. Voor contact en info mail naar havenstages@hr.nl","Higher Education","51-200 employees","Educational","Rotterdam, Zuid-Holland","Netherlands","rdmcoe.nl","https://www.linkedin.com/company/bureauhavenstages",
,"Argonaut Advies B.V.","Argonaut is een onafhankelijke adviesorganisatie gespecialiseerd in reïntegratie en voorzieningen. Het gaat hierbij om het bevorderen en/ of het versterken van het werkvermogen en het uitvoeren van indicatiestellingen. 

Argonaut heeft zich volledig toegelegd op het ondersteunen van publieke organisaties bij de uitvoering van wetten zoals de Wet Maatschappelijke Ondersteuning (Wmo), de Wet Werk en Bijstand (WWB), en de Wet Inburgering (WI). Ook verzorgen wij de indicatiestelling voor een gehandicaptenparkeerkaart (bestuurder of passagier) en het Hoog Persoonlijk Kilometer Budget (HPKB).","Hospitals and Health Care","51-200 employees","Privately Held","Utrecht","Netherlands","argonaut.nl","https://www.linkedin.com/company/argonaut-advies-b.v.",
,"WorkmateCompany","Bij Workmate Company kun je terecht voor ambulante begeleiding, leerwerktrajecten en arbeidsmatige dagbesteding. Wij zijn ontwikkelingsgericht en we richten ons op het vergroten van de eigen regie en zelfredzaamheid van de deelnemer. 

Wij bieden een uitgebreid aanbod aan mogelijkheden tot arbeidsmatige dagbesteding in onder andere hout,- en metaalbewerking, keramiek, meubels maken, detailhandel, creatief en groen op diverse locaties door de Achterhoek. Er zijn verschillende mogelijkheden tot scholing naast het leren van arbeidsvaardigheden.","Hospitals and Health Care","51-200 employees","Privately Held","Lichtenvoorde, Gelderland","Netherlands","workmatecompany.nl","https://www.linkedin.com/company/workmatecompany",
,"Kandinsky College","Het Kandinsky College staat voor eigentijds en hoogwaardig onderwijs in een gezonde en veilige leeromgeving. Wij bieden tweetalig én Nederlandstalig onderwijs op mavo-, havo- en vwo-niveau (atheneum en gymnasium).","Primary and Secondary Education","51-200 employees","Educational","Nijmegen, Gelderland","Netherlands","kandinskycollege.nl","https://www.linkedin.com/company/kandinsky-college",
,"NxtGen+","Hoi  Wij zijn NxtGen+. Wij willen alle schoolgaande jongeren spelenderwijs versterken in digitale geletterdheid. Dit doen wij met de kracht van cultureel diverse rolmodellen en interactief lesmateriaal.

In 2025 zijn we gepivot naar Digilingo.ai.","Education","51-200 employees","Privately Held","Rotterdam, Zuid-Holland","Netherlands","nxtgenplus.nl","https://www.linkedin.com/company/nxtgenplus",
,"Apotheek Haagse Ziekenhuizen","Binnen de farmaceutische zorg anticiperen wij op wensen van onze klanten en ontwikkelingen binnen het zorglandschap. Dit doen we door het bereiden en analyseren van geneesmiddelen – individueel en op voorraad; het aanbieden van Therapeutic Drug Monitoring (TDM) en advies, en het ontzorgen van onze klanten door inkoop en distributie van geneesmiddelen. Vanuit onze kennis en ervaring werken wij samen aan de beste farmaceutische zorg van vandaag én morgen.","Hospitals and Health Care","51-200 employees","Non Profit","Den Haag, Zuid-Holland","Netherlands","ahz.nl","https://www.linkedin.com/company/ahz-farmacie",
,"Huisartsenzorg Oude IJssel","Huisartsenzorg Oude IJssel is een regionale huisartsenorganisatie van en voor huisartsen in de regio Oude IJssel. Onze regio telt 44 huisartsenpraktijken die gezamenlijk aan ruim 148.000 inwoners zorg verlenen.

Wij behartigen de belangen van huisartsen in de regio Oude IJssel en ondersteunen hen op het gebied van zorg, organisatie en samenwerking. We organiseren de chronische zorg, ouderenzorg, geestelijke gezondheidszorg en spoedzorg. We maken samenwerkingsafspraken namens de huisartsen, faciliteren bij- en nascholingen en stimuleren innovatie. 

Zo zorgen we ervoor dat huisartsen de best mogelijke zorg kunnen blijven bieden. Samen bouwen we aan toekomstbestendige huisartsenzorg.","Hospitals and Health Care","51-200 employees","Non Profit","Doetinchem, Gelderland","Netherlands","hzoij.nl","https://www.linkedin.com/company/hzoij",
,"Avans Masters of Arts","Two MA programmes in Visual Cultures with different progressive pathways for practice-led research in art and design. The Masters of Arts at Avans University of Applied Sciences currently hosts the two-year programme MA in Fine Art and Design and the top programme MA in Animation. 

Through arts, creativity and innovation, we foster individual creative potential. Through dialogue and debate we build a vibrant sense of community. We develop knowledge frameworks to help us understand our entanglement with the world around us.

Avans University of Applied Sciences is currently expanding its Professional Masters portfolio, together with the four Centres of Expertise (CoE). The aim is to build a knowledge institute with a strong, interdisciplinary, cross-sectoral research community where art and science meet in first, second and third cycle education. A perfect fit for our current programmes and students to explore artistic practice for the world of tomorrow. 

Four full-time 2-year research pathways in Fine art and Design:
* Visual Arts and Post Contemporary Practice
* Situated Design
* Ecology Futures
* Health by Design
And the full-time 1-year Master of Animation

Contact us: masteradmission@avans.nl","Higher Education","51-200 employees","Educational","’s-Hertogenbosch, North Brabant","Netherlands","avans.nl","https://www.linkedin.com/company/avansmastersofarts",
,"UniC Utrecht","UniC is een openbare school met vernieuwend, eigentijds onderwijs voor havo/vwo. Samenwerken staat voorop bij UniC. Kennisverwerving gaat er hand in hand met samenwerkend leren, persoonlijke groei en het ontwikkelen van sociale vaardigheden en talenten. UniC wil laten zien dat leerlingen een havo- of vwo-diploma kunnen halen met méér waarde. Leerlingen worden mondige burgers die hun weg weten te vinden in de multimediamaatschappij en die weten hoe ze samen met anderen resultaten kunnen boeken.

UniC werkt met 'team teaching' in plaats van vaste docenten voor vaste lessen. Er is geen schoolbel en de kinderen werken in hun eigen tempo en op hun eigen manier aan de leerstof. UniC heeft ook geen traditionele klaslokalen. Leerlingen werken op overlegplekken en in flexibele werkruimten. 

Het onderwijs op UniC wordt niet gegeven in vakken, maar in leergebieden. Bijvoorbeeld het leergebied natuur waar de natuurwetenschappen centraal staan. Binnen dat leergebied werken leerlingen via thema's aan biologie, natuurkunde en scheikunde. 

Op UniC is elke leerling is uniek. Daarom stimuleert de school de ontwikkeling van unieke talenten, interesses en vaardigheden.","Primary and Secondary Education","51-200 employees","Educational","Utrecht, Utrecht","Netherlands","unic-utrecht.nl","https://www.linkedin.com/company/unic-utrecht",
,"ID study association","ID study association is one of Delft's largest and most active study associations. ID study association is unique in its kind and creative in its thinking. Since 1973, the study association has become an active association with more than 2500 members and 25 committees. About 175 members are active in committees. In addition, ID has a fulltime board of eight enthusiastic students who keep the study association running for a year!","Education Management","51-200 employees","Educational","Delft, Zuid-Holland","Netherlands","studieverenigingid.nl","https://www.linkedin.com/company/idstudyassociation",
,"TU Delft | Geomatics","This is the news page of the Master's program Geomatics at the Delft University of Technology, the Netherlands. We update on our projects, thesis topics, current research, and the program itself.","Higher Education","51-200 employees","Educational","Delft, Zuid-Holland","Netherlands",,"https://www.linkedin.com/company/geomatics-tu-delft",
,"Vilans.org","Vilans is the national Centre of Expertise for Long-term Care in the Netherlands. In this field, Vilans engages in innovation, research and development, dissemination, and implementation of good practices.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","vilans.org","https://www.linkedin.com/company/vilans-org",
,"Windesheim Professionalisering in onderwijs","Als consultants houden wij ons bezig met het professioneel begeleiden, opleiden en adviseren van docenten en management van scholen en onderwijsinstellingen binnen het primair, voortgezet en beroepsonderwijs. Wij ontwerpen samen met klanten maatwerktrajecten rond professionaliseringen, bouwen aan werkrelaties waarin klanten leren zelf leersituaties te ontwikkelen en daarin te werken. Wij streven naar het realiseren van blijvende gedragsveranderingen, werken interactief en kiezen voor verdergaande verdiepende interventies als intervisie, training, werkconferentie en coaching.
Wij helpen graag bij het realiseren van persoonlijke (maatwerk)wensen.","Higher Education","51-200 employees","Educational","Zwolle, Overijssel","Netherlands","windesheim.nl","https://www.linkedin.com/company/windesheim-professionalisering-in-onderwijs",
,"Coornhert Gymnasium","Public Grammar school 
Gouda
The Netherlands
750 pupils","Primary and Secondary Education","51-200 employees","Educational","Gouda, Zuid Holland","Netherlands","coornhert-gymnasium.nl","https://www.linkedin.com/company/coornhert-gymnasium",
,"Vituscollege","Het Vituscollege is een school voor gymnasium, atheneum en havo.","Primary and Secondary Education","51-200 employees","Educational","Bussum, Noord-Holland","Netherlands","vituscollege.nl","https://www.linkedin.com/company/vituscollege",
,"ROC Mondriaan - Business & Retail","ROC Mondriaan - Business & Retail","Education Administration Programs","51-200 employees","Educational","Den Haag, Zuid Holland","Netherlands","rocmondriaan.nl","https://www.linkedin.com/company/roc-mondriaan-school-for-business-retail",
,"Carolus Clusius College","Op het CCC leer je meer dan alleen uit boeken. Wij vormen jongeren tot betrokken wereldburgers met een stevige basis, een open blik en ruimte voor persoonlijke groei. Als UNESCO-school werken we aan thema’s als duurzaamheid, democratie en gelijke kansen. Met tweetalig onderwijs, internationale projecten en wereldvakken bereiden we leerlingen voor op een toekomst in een internationale samenleving.
Onze belofte: een betekenisvolle schooltijd waarin je ontdekt wie je bent, waar je staat en hoe jij het verschil kunt maken.","Primary and Secondary Education","51-200 employees","Educational","Zwolle","Netherlands","hetccc.nl","https://www.linkedin.com/company/carolus-clusius-college",
,"Albeda Startcollege","In de praktijk leren onze studenten het best. Daarom gaat Albeda Startcollege graag een duurzame samenwerkingsrelatie aan met bedrijven en organisaties. Wij zijn altijd op zoek naar bedrijven, waar onze studenten stage (ook wel beroepspraktijkvorming, bpv, genoemd) kunnen lopen of waar we een keer met onze studenten langs kunnen gaan voor een bedrijfsbezoek.

Een student gaat voor zijn beroepspraktijkvorming of leer(werk)baan naar een erkend leerbedrijf. Tijdens de beroepsopleidende leerweg (bol) loopt een student stage. Bij een beroepsbegeleidende leerweg (bbl) gaan onze studenten vier dagen in de week aan het werk bij hun stagebedrijf en gaan ze een dag in de week naar school. Ze moeten dan een arbeidscontract hebben van minimaal 20 uur per week.

Wilt u ook een erkend leerbedrijf worden? Via Stichting Beroepsonderwijs Bedrijfsleven (SBB) kunt u de nodige stappen nemen om deze erkenning te krijgen.","Education Administration Programs","51-200 employees","Educational","Rotterdam, Zuid-Holland","Netherlands","albeda.nl","https://www.linkedin.com/company/albeda-startcollege",
,"Al Amana College","Welkom op de officiële LinkedIn pagina van het Al Amana College. Via deze pagina kunnen jullie de (toekomstige) school met haar nieuwste updates volgen.","Education Administration Programs","51-200 employees","Educational","Utrecht","Netherlands","alamanacollege.nl","https://www.linkedin.com/company/al-amana-college",
,"HARMONY Alliance Foundation","#bigdataforbloodcancer
The HARMONY Alliance is enabling better and faster treatment for blood cancer patients

HARMONY: 53 Partners, Patient Cluster of 7 European Patient Organizations, 43 Associated Members. Budget: Euro 40 million. Period: January 2017 until December 2021. 

HARMONY PLUS: 39 Partners, 8 Associated Partners. Euro Budget: 11,8 million. Period: October 2020 until September 2023. 

HARMONY and HARMONY PLUS are funded through the Innovative Medicines Initiative (IMI), Europe's largest public-private initiative aiming to speed up the development of better and safer medicines for patients. The HARMONY Alliance has received funding from IMI 2 Joint Undertaking and is listed for HARMONY under grant agreement No. 116026 and for HARMONY PLUS grant agreement No. 945406. This Joint Undertaking receives support from the European Union’s Horizon 2020 Research and Innovation Programme and the European Federation of Pharmaceutical Industries and Associations (EFPIA). IMI supports collaborative research projects and builds networks of industrial and academic experts in order to boost pharmaceutical innovation in Europe.","Hospitals and Health Care","51-200 employees","Non Profit","The Hague, Zuid Holland","Netherlands","harmony-alliance.eu","https://www.linkedin.com/company/harmony-alliance",
,"Health Campus Den Haag","De interdisciplinaire Health Campus Den Haag van het LUMC en Universiteit Leiden heeft als centrale missie om vanuit verschillende wetenschappelijke en klinische invalshoeken, in samenwerking met regionale partners, bij te dragen aan een gezonde levensverwachting voor iedereen. Daarbij staan drie principes centraal: het verkleinen van gezondheidsverschillen, een duurzame benadering en een breed gezondheidsperspectief. Om dit te bereiken investeert de Health Campus in wederkerige samenwerking met partners binnen en buiten de regio, door middel van interdisciplinair onderwijs, opleiding en onderzoek dat gericht is op proactief klinisch beleid en gezondheidsbevordering. Hierbij wordt uitdrukkelijk zowel de verbinding met het medisch, het maatschappelijk als het sociaal domein gezocht.","Hospitals and Health Care","51-200 employees","Government Agency","Den Haag, Zuid-Holland","Netherlands","healthcampusdenhaag.nl","https://www.linkedin.com/company/health-campus-den-haag",
,"Natuurcentrum Arnhem","Natuurcentrum Arnhem zet zich in voor een levendige groene stad, waar bewoners een actieve bijdrage kunnen en willen leveren aan een duurzame toekomst. Dit doen we door zoveel mogelijk te laten zien hoe je zelf duurzame keuzes kunt maken.

Op onze stadsboerderijen kun je van alles leren en ontdekken over dieren en de herkomst van ons voedsel. Met onze lessen en initiatieven in de wijk inspireren we en maken we jong en oud bewust van het belang van natuur en de eigen rol in het behoud ervan. Want als je dichtbij de natuur staat begrijp je ook hoe belangrijk het is om er goed mee om te gaan. Samen brengen we de groene stad tot leven.

Missie
Natuurcentrum Arnhem werkt in de stad aan het vergroten van het besef dat natuur een kernwaarde is in een duurzame samenleving. Dit doen we door te inspireren, te informeren en ook door samen te werken. We willen de Arnhemse burger bewustmaken van de eigen rol in de leefomgeving en handvatten aanreiken om bewuste keuzes te maken.

Visie
We zien een levendige groene stad voor ons waar inwoners (jong en oud) actief een bijdrage leveren aan een duurzame toekomst in een groene stad. Een stad waar inwoners meer en meer de natuurlijke leefomgeving omarmen. Dit is een stad waar ze bewust willen zijn.","Education Management","51-200 employees","Non Profit","Arnhem, Gelderland","Netherlands","natuurcentrumarnhem.nl","https://www.linkedin.com/company/natuurcentrum-arnhem",
,"Overkoepelend Netwerk Samenwerkingsverbanden (ONSwv)","Vanaf 1 augustus bundelen Netwerk LPO en Sectorraad samenwerkingsverbanden vo onze krachten en gaan we samen verder als één organisatie van samenwerkingsverbanden passend onderwijs in Nederland met de naam Overkoepelend Netwerk Samenwerkingsverbanden (ONSwv).","Education Administration Programs","51-200 employees","Non Profit","Utrecht","Netherlands","onswv.nl","https://www.linkedin.com/company/overkoepelend-netwerk-samenwerkingsverbanden-onswv",
,"Amado Zorg","Bij Amado Zorg combineren we kleinschalig wonen met persoonsgerichte zorg. We nemen de tijd en stemmen de zorg, aandacht en leefruimte op de individuele behoeften van onze bewoners af. Om een fijne woonomgeving te kunnen bieden, zijn de locaties van Amado Zorg in Kraggenburg 
, Almere en Dronten huiselijk ingericht, ruim van opzet, met eigen appartementen en veel buitenruimte. Een goede woonomgeving voor bewoners met dementie.

Wilt u meer weten over Amado Zorg? Neem gerust eens contact op via Brian@AmadoZorg.nl of kijk op www.AmadoZorg.nl","Hospitals and Health Care","51-200 employees","Privately Held","Kraggenburg, Flevoland","Netherlands","amadozorg.nl","https://www.linkedin.com/company/amadozorg",
,"Studievereniging VOCUS","VOCUS is dé studievereniging voor alle onderwijswetenschappen en Academische Lerarenopleiding Primair Onderwijs (ALPO) studenten aan de Universiteit Utrecht. De vereniging bestaat uit bijna 500 leden en heeft daarnaast een grote groep alumni-leden. De vereniging is opgericht op 20 september 1991 te Utrecht. VOCUS staat voor Verenigde Onderwijskunde Commissies der Utrechtse Studenten.

De vereniging heeft een zeskoppige bestuur die eindverantwoordelijk is voor de vereniging. Dit bestuur wordt ondersteunt door 18 commissies met actieve leden die zich inzetten voor de organisatie van zowel studie-inhoudelijke als ontspannende activiteiten. Leden kunnen hun beeld van hun toekomstige werkveld verbreden door lezingen en excursies naar bedrijven. Daarnaast genieten zij van een jaarlijkse studiereis, borrels, feesten, sportieve tot en met creatieve activiteiten, noem maar op!

Leden en externen blijven op de hoogte door middel van verschillende sociale media, een tweewekelijkse nieuwsbrief, het verenigingsblad ‘Focus’ en de Almanak.

Het netwerk van VOCUS bestaat uit leden, alumni, verwante studieverenigingen, de afdeling Educatie van Universiteit Utrecht, bedrijfsrelaties en externen. Samen slaan we ieder jaar de handen ineen voor een geslaagd studiejaar.","Higher Education","51-200 employees","Non Profit","Utrecht, Utrecht","Netherlands","svvocus.nl","https://www.linkedin.com/company/studievereniging-vocus",
,"Rivers International School Arnhem","International primary and secondary education.
Rivers International School Arnhem  (RISA) offers students a high quality education in an international, multi-cultural setting, according to IBO standards.

IB-Diploma Programme for Dutch students from 5 Havo or 4 VWO
Via Rivers International School Arnhem naar Oxford of Harvard

The Dutch Ministry of Education, has decided that Dutch students who do not fulfill the normal expat requirements for admittance to Arnhem International School can now join the IB-DP programme.","Education Administration Programs","51-200 employees","Educational","Arnhem, Gelderland","Netherlands","riversarnhem.org","https://www.linkedin.com/company/international-school-of-arnhem",
,"TRI GROEI IN GROEN","TRI Groei in Groen is het samenwerkingsverband van scholen, studenten (200+) en hoveniers-, groenvoorzienings-, gemeentelijke groendiensten en boomteeltbedrijven die bij ons als opleidingsbedrijf (300+) zijn aangemeld. Ons gemeenschappelijke doel: jongeren succesvol opleiden voor een toekomst in de ‘Groene Ruimte’.","Education","51-200 employees","Non Profit","Stellendam, Zuid-Holland","Netherlands","trigroeiingroen.nl","https://www.linkedin.com/company/trigroeiingroen",
,"Kennis Over Zien","Onder de naam Kennis Over Zien werken Bartiméus, Koninklijke Visio, Robert Coppes Stichting, Oogvereniging en MaculaVereniging samen aan het ontwikkelen en delen van kennis over visuele beperkingen.

Onze missie: samen met de praktijk ‘kennis over zien’ ontwikkelen, onderbouwen en op het juiste moment toegankelijk en laagdrempelig beschikbaar stellen voor mensen met een visuele beperking en hun omgeving.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","kennisoverzien.nl","https://www.linkedin.com/company/kennis-over-zien",
,"Lentiz Reviuslyceum","De afgelopen jaren  heeft het Reviuslyceum zich gepositioneerd als een naar buiten gerichte, open organisatie en is er een gevoel van gedeelde normen, waarden en een sterke visie op onderwijs ontstaan, samengevat in de missie.

ELOS
Het Reviuslyceum is met ingang van augustus 2008 ELOS-school
geworden (Europa als Leeromgeving op Scholen). Dit betekent een bewuste keuze van onze school om onze leerlingen een extra goede start op de internationale opleidings- en arbeidsmarkt te geven. Versterkt talenonderwijs (Cambridge, Goethe, DELF en DELE), bilaterale - en multilaterale uitwisselingen, het vak EIO en aandacht voor internationale ontwikkelingen in het curriculum, horen bij een ELOS-school en dus bij het Reviuslyceum!

European Parliament Ambassador School
Het Reviuslyceum is een European Parliament Ambassador School. Als Ambassador school krijgen leerlingen kennis van de Europese democratie en ontwikkelen zij vaardigheden mbt Europees burgerschap. Junior ambassadors zorgen ervoor dat Europa zichtbaar wordt in de school. Zij organiseren bijvoorbeeld reizen naar Brussel en Straatsburg en geven gastlessen.

Speerpunten van het Lentiz Reviuslyceum:
- Begeleiding
- Internationalisering
- Digitalisering
- Comeniusklas
- Sportklas
- Ouderbetrokkenheid","Primary and Secondary Education","51-200 employees","Public Company","Maassluis, Zuid-Holland","Netherlands","lentiz.nl","https://www.linkedin.com/company/lentizreviuslyceum",
,"Dalton Den Haag","Op Dalton Den Haag kennen we elkaar. Dat klasgenoten elkaar kennen is vanzelfsprekend. Maar leerlingen uit verschillende klassen van de onderbouw en bovenbouw kennen elkaar ook. Door de daltonuren, het tutoraat en de leerlingmentoren ontmoeten leerlingen uit alle klassen elkaar. De onderlinge band tussen docenten en leerlingen is hecht, doordat de leraar niet alleen lesgeeft, maar ook begeleidt en helpt met taken en plannen. 

Daarnaast is Dalton Den Haag gewoon een goed georganiseerde school met heldere regels. Als je met duizend mensen in een school rondloopt, is dat belangrijk. Iedereen weet welke afspraken er gelden. Juist door dat persoonlijke contact en de geoliede organisatie kunnen we leerlingen meer vrijheid, verantwoordelijkheid en vertrouwen geven. 

En dat motiveert, want als je verantwoordelijkheid krijgt, ben je ook geneigd die te nemen.","Primary and Secondary Education","51-200 employees","Educational","The Hague, Zuid-Holland","Netherlands","daltondenhaag.nl","https://www.linkedin.com/company/dalton-den-haag",
,"Avicenna College","Het Avicenna college biedt kwalitatief hoogwaardig onderwijs, gekoppeld aan de islamitische levensovertuiging. Kwaliteit en identiteit is waar het ons om gaat. Onze doelstelling is de leerlingen te ondersteunen bij de integratie in de Nederlandse samenleving met behoud van de eigen islamitische identiteit.

Kwaliteit leveren wij door de inzet van goed opgeleide leraren, moderne beproefde onderwijsmethoden, de inzet van hoogwaardige middelen zoals computers en touchscreens en heldere procedures over hoe de organisatie functioneert.

We bieden huiswerkbegeleiding. In huiswerkklassen worden leerlingen die dat nodig hebben geholpen met huiswerk en leren studievaardigheden. Daarnaast willen we ook een gezonde school zijn. Onze leerlingen zijn al hele goede voetballers die het uitstekend doen in Rotterdamse scholencompetities. We bieden schoolzwemmen aan voor alle klassen; leerlingen die eventueel nog geen zwemdiploma hebben krijgen tijdens deze lessen extra begeleiding om snel te komen tot een diploma. 

We zijn een school waar leerlingen graag naartoe gaan, veel kunnen leren en zich veilig voelen. We zijn ook een school waar de leerlingen weten dat we streng kunnen zijn als ze zich niet aan de afspraken en regels houden of te laat komen. We staan als school midden in de maatschappij, we weten wat er in de samenleving en buiten op straat speelt en helpen onze leerlingen, jonge moslims en moslima's, goede keuzes te maken en hun talent te ontwikkelen zodat ze een goede plek kunnen veroveren in de Nederlandse samenleving.","Primary and Secondary Education","51-200 employees","Public Company","Rotterdam, Zuid-Holland","Netherlands","avicenna-college.com","https://www.linkedin.com/company/avicenna-college",
,"CityKids","CityKids geeft bijzondere kinderen de aandacht en ruimte om zich te ontwikkelen. 

CityKids is een Medische Kindzorg Instelling en levert (ontwikkelingsgerichte) zorg, behandeling en begeleiding aan cliënten in de leeftijd van 0 tot 23 jaar.
Het zorgaanbod is ondergebracht bij het Ontwikkelcentrum voor cliënten met een ontwikkelingsachterstand, verstandelijke beperking en/of een stoornis in het Autisme Spectrum (ASS). Het Verpleegkundig Centrum biedt zorg aan cliënten met een intensieve zorgvraag. Daarnaast heeft Citykids het Ontdekkingscentrum opgezet voor cliënten met een ernstige verstandelijke beperking en meervoudige beperkingen. Locatie De Pastorie biedt een fijn thuis aan jongens met autisme en/of een verstandelijke beperking in de leeftijd van 16 tot 23 jaar en dagbesteding aan jongeren vanaf 18 jaar.

Naast specialistische centra biedt CityKids ook hulp in het gezin. Vanuit de gezinsondersteuning biedt CityKids ondersteuning in de thuissituatie aan gezinnen met een kind met een somatische aandoening, psychiatrische stoornis, ontwikkelingsachterstand, gedragsstoornis, en/of verstandelijke/meervoudige beperking. De hulpvraag vanuit ouders staat centraal in de begeleiding.

CityKids heeft vestigingen in drie regio’s binnen Nederland: regio Rijnmond, regio Haaglanden en de Zuid-Hollandse eilanden.

Contactgegevens CityKids Hoofdkantoor
Voorburgstraat 298C
3037 BS Rotterdam
010-4673105
info@citykids.nl","Hospitals and Health Care","51-200 employees","Privately Held","Rotterdam, Zuid-Holland","Netherlands","citykids.nl","https://www.linkedin.com/company/citykids-nederland",
,"Educé - Partners in passend onderwijs","Educé ondersteunt scholen, leerkrachten, intern begeleiders en zorgcoördinatoren bij hulp aan leerlingen. Ieder kind is anders en heeft dus wat anders nodig. Onze ervaring en expertise uit het speciaal onderwijs zetten wij in op reguliere scholen om passender onderwijs te realiseren. Dit doen we door middel van begeleiders passend onderwijs (BPO), trainingen, workshops, coaching en het ontwerpen van onderwijs-zorgarrangementen. Ook helpen we thuiszitters en bieden we met School2Care een alternatief voor gesloten jeugdzorg.","Primary and Secondary Education","51-200 employees","Educational","Amsterdam, Noord-Holland","Netherlands","educeonderwijs.nl","https://www.linkedin.com/company/educé",
,"Zadkine Startcollege","Zadkine Startcollege biedt mbo 1-opleidingen voor jongeren, zonder middelbare school diploma, die extra ondersteuning nodig hebben. Wij zorgen voor een veilige leeromgeving met persoonlijke begeleiding.
Onze praktijkgerichte opleidingen sluiten aan bij de arbeidsmarkt. Studenten kunnen na afronding direct werken of doorstromen naar mbo 2.

Het Startcollege heeft drie locaties: Spijkenisse, Capelle aan den IJssel en Rotterdam Zuid. Hier werken docenten en peercoaches samen met studenten aan zelfvertrouwen, vaardigheden en kansen.

Wij geloven dat iedereen recht heeft op een goede start. Daarom combineren we onderwijs met persoonlijke aandacht, zodat iedere student kan groeien.","Education","51-200 employees","Educational","Rotterdam, Zuid-Holland","Netherlands","zadkine.nl","https://www.linkedin.com/company/zadkine-startcollege",
,"WIJ.ZORGEN","WIJ.ZORGEN | Omdat iedereen goede zorg verdient, verbinden wij zorgtalent aan werkgeluk.

Iedereen verdient goede zorg. Daarom verbinden wij zorgtalent aan een baan waar zij zich écht thuis voelen.
Hoe maken wij het verschil?
We luisteren oprecht naar jouw wensen en ambities. We kijken verder dan cv’s en vacatures, we willen weten wie jij bent en wat jou drijft. Met onze kennis van zorgorganisaties kunnen we jou laten zien waar jouw talent écht tot zijn recht komt, in een team dat bij je past.

Wat bieden wij jou?
Een vrijblijvend persoonlijk gesprek waarin we samen ontdekken wat jij belangrijk vindt.
De kans om verschillende zorgorganisaties en functies te leren kennen.
Meeloopdagen en begeleiding, zodat jij zeker weet wat bij je past.

Heb je jouw droombaan gevonden? Dan is onze gezamenlijke missie geslaagd. Je krijgt een vaste plek bij een zorgorganisatie waar jij je thuis voelt, met continuïteit en zekerheid in jouw functie.

Onze belofte:
Wij helpen je niet zomaar aan een baan, maar aan dé plek waar jij vanuit je hart kunt zorgen voor een ander.

Ontdek de mogelijkheden die WIJ.ZORGEN jou kan bieden. Of je nu ervaren bent in de zorg, net begint, of de overstap wilt maken naar de zorg. Wij begeleiden jou naar een plek waar jij je thuis voelt.","Hospitals and Health Care","51-200 employees","Self Owned","'s-Hertogenbosch, Noord-Brabant","Netherlands","zorgen.nu","https://www.linkedin.com/company/wij-zorgen",
,"RUNOMI","The Radboud University Network on Migrant Inclusion (RUNOMI) is an interfaculty network organization of more than 90 scholars working at Radboud University. The expansion and intensification of collaboration in research, teaching and partnerships with societal actors in the domain of migrant inclusion studies is at the core of the network. It draws on a vibrant assemblage of diverse scientific expertise on migrant inclusion issues: RUNOMI-scholars are affiliated with the Nijmegen School of Management, the faculties of Arts, Law, Social Sciences, Philosophy, Theology and Religious Studies, Sciences, and the Radboud University Medical Centre.

A core team manages the RUNOMI-activities, ranging from designing and implementing education programs, such as Summer School courses, to research societal impact activities, for instance research projects, the RUNOMI annual congress and seminars.

Thanks to the lively community of RUNOMI, many activities are initiated bottom-up and are aimed at a variety of stakeholders such as policy-makers, scientists, migrants and professionals.","Higher Education","51-200 employees","Educational","Nijmegen, Gelderland","Netherlands","ru.nl","https://www.linkedin.com/company/runomi",
,"Brandwondenzorg Nederland","De drie Nederlandse brandwondencentra (Rotterdam, Beverwijk en Groningen), het onderzoeksinstituut Vereniging Samenwerkende Brandwondencentra Nederland (VSBN), de patiëntenvereniging Vereniging van Mensen met Brandwonden en de Nederlandse Brandwonden Stichting werken vanuit de organisatie ‘Brandwondenzorg Nederland’ intensief samen om brandwonden te voorkomen en de behandeling en zorg aan patiënten met brandwonden verder te optimaliseren. Door snelle, hoog kwalitatieve en gestructureerde samenwerking tussen deze expertisecentra wordt de best mogelijke zorg geboden aan kinderen en volwassenen met ernstige brandwonden. Middels wetenschappelijk onderzoek en opleiding wordt deze kwaliteit van de zorg verder verbeterd. Meer informatie vind je op www.brandwondenzorg.nl.","Hospitals and Health Care","51-200 employees","Non Profit","Beverwijk, Noord-Holland","Netherlands","brandwondenzorg.nl","https://www.linkedin.com/company/brandwondenzorg-nederland",
